case,mode,correctness,coverage,evidence_quality,task_focus,actionability,caveats,content_score_0_5,content_score_0_100,judge_summary,strengths,weaknesses,judged_in_pass,mode_short,case_class,prompt_style,run_status,agent_ok,validation_ok,hard_pass_rate,soft_pass_rate,answer_words,estimated_cost_usd,agent_elapsed_s,setup_elapsed_s,total_elapsed_s_incl_setup,total_tokens,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,cache_hit_rate,tool_call_count_normalized,crg_tool_call_count,graphify_shell_call_count,code_review_graph_shell_call_count,uvx_crg_shell_call_count,content_rank,quality_per_dollar,quality_per_total_minute,cost_per_quality_point,time_per_quality_point_s,previous_content_score_0_100,strict_content_score_0_100,strict_content_score_0_5,strict_correctness,strict_coverage,strict_evidence_quality,strict_task_focus,strict_actionability,strict_caveats,strict_judge_summary,strict_strengths,strict_weaknesses,score_delta_vs_previous,case_weight,score_gap_to_best,cost_ratio_to_case_min,time_ratio_to_case_min,burden_index,strict_balanced_score_0_100,strict_quality_per_dollar,strict_quality_per_total_minute,strict_cost_per_quality_point,strict_time_per_quality_point_s,score_gap_to_best_prompt_time,prompt_time_ratio_to_case_min,prompt_burden_index,prompt_time_balanced_score_0_100,quality_per_prompt_minute,prompt_time_per_quality_point_s,setup_time_s_reported_separately
admin-product-edit-field,base-only,4.8,5.0,4.5,4.7,4.8,4.6,4.755000000000001,80,Most complete answer for the everyday case. It covers the complete MVC/model/mapping/persistence path and gives practical guidance on when each file needs modification.,"Excellent implementation map; includes exact UI examples, mapper direction, service behavior, schema builder, migration, localization, validator; strong actionability.","Uses shortened display paths in links, which harms deterministic validation even though content is clear; slightly long for a “concise candidate paths” request.",2,base,everyday,neutral,validation_failed,True,False,0.8,0.125,731,0.841569,111.275,0.0,111.275,487222,482667,379648,4555,758,0.7865629927051155,28,0,0,0,0,2.0,113.0032118578512,51.27836441249157,0.0088493059936908,1.1700841219768665,95.1,80,4.0,4.02,4.11,3.89,3.98,4.02,3.93,"Strong implementation map, but stricter grading penalizes breadth, shortened paths, and lack of crisp source-verified next-step sequencing.",Covers controller/model/factory/view/domain/persistence path and gives usable implementation guidance.,Too broad for candidate-path task; deterministic source path formatting issues; not enough separation between confirmed files and inferred follow-ups.,-15.099999999999994,0.2333333333333333,3,1.145051036652235,1.0,1.0725255183261175,78.80494896334777,95.06053573741428,43.13637384857335,0.0105196125,1.3909375000000002,3,1.0175202772519867,1.0812856569521108,78.78742868609578,43.13637384857335,1.3909375000000002,0.0
admin-product-edit-field,base-default-graphify,4.8,5.0,4.8,4.7,4.8,4.6,4.815,83,"Excellent default-Graphify feature-localization answer. It maps controller, model, factory, views, mapper, domain entity, persistence, validation, localization, and migrations with direct source evidence.",Very complete end-to-end implementation map; excellent file/path evidence; useful supporting-file guidance.,Slightly broad for a concise candidate-list task; caveats are implicit rather than explicitly separated.,replacement_default_graphify,graphify,everyday,neutral,validation_failed,True,False,0.8666666666666667,0.0,813,0.932347,136.177,82.869,219.046,429453,424643,296704,4810,639,0.6987139785655244,58,0,8,0,0,1.0,103.28772442019977,26.378021054938227,0.0096816926272066,2.2746209761163034,96.29999999999998,83,4.15,4.14,4.23,4.14,4.1,4.14,4.05,"Best strict answer for this case: complete and practical, but still not a near-perfect artifact because it is broad and caveats are implicit.",Very complete MVC/admin-field map with good file evidence and supporting implementation path.,Over-complete for the prompt; could be tighter and explicitly mark optional vs mandatory files.,-13.299999999999985,0.2333333333333333,0,1.2685649053964696,1.9685104470905408,1.6185376762435055,81.76292464751299,89.02264929259171,22.73495064963524,0.0112330963855421,2.63910843373494,0,1.2452290163589645,1.2568969608777172,82.48620607824456,36.57005221146009,1.6406867469879518,82.869
admin-product-edit-field,base-default-code-review-graph,4.5,4.5,4.5,4.4,4.4,4.2,4.46,70,"Strong answer covering all required files and most adjacent concerns. More compact than the best answers, but still usable for implementation planning.","Covers controller, model, factory, mapper, create/edit views, info partial, domain entity, service, schema builder, migrations, resources.",Slightly thinner on specific examples of existing fields and UI binding; less explicit next-step guidance than top answers.,2,crg,everyday,neutral,validation_failed,True,False,0.8,0.125,577,0.734962,109.359,25.551,134.91,417390,412994,324864,4396,981,0.7866070693520971,38,6,0,2,0,4.0,121.36681896479,39.670891705581504,0.0082394843049327,1.5124439461883408,89.2,70,3.5,3.52,3.52,3.52,3.47,3.47,3.38,"Usable but clearly weaker than base/Graphify under stricter grading: it covers the main path, but with thinner implementation specificity.",Finds required files and most adjacent components.,"Less concrete on existing field examples, UI binding, and exact implementation sequence; weaker developer handoff.",-19.200000000000003,0.2333333333333333,13,1.0,1.2124017074814648,1.1062008537407324,65.23759829251854,95.24301936698768,31.1318656882366,0.0104994571428571,1.9272857142857145,13,1.0,1.0,65.45,38.40561819328999,1.5622714285714285,25.551
admin-product-edit-field,base-default-graphify-code-review-graph,4.6,4.8,4.7,4.5,4.6,4.3,4.629999999999999,76,"Very strong source-backed map of controller, model, factory, views, mapper, domain entity, persistence, migration, localization, and validation. Slightly broad for a concise candidate-list task, but still highly usable.","Excellent end-to-end path; includes mapper, persistence, migration, resources, validator; precise file/line evidence.",Slightly more exhaustive than necessary; migration/version guidance is plausible but should be treated as an example rather than a definitive target.,2,graphify+crg,everyday,neutral,validation_failed,True,False,0.8125,0.2222222222222222,635,0.793791,123.214,109.587,232.801,698608,693129,630272,5479,1379,0.9093141392150668,26,0,6,2,0,3.0,116.6553916585096,23.8658768647901,0.0085722570194384,2.514049676025918,92.6,76,3.8,3.79,3.88,3.83,3.74,3.79,3.65,"Good but not efficient or crisp: it maps the area well, but strict grading penalizes over-breadth and some plausible-but-not-proven migration/version guidance.",Broad end-to-end coverage with controller/model/factory/view/persistence guidance.,Too exhaustive; some guidance reads inferred rather than source-demonstrated; not better than Graphify alone.,-16.599999999999994,0.2333333333333333,7,1.0800435940905788,2.0921231184003592,1.586083356245469,72.37783328750906,95.74308602642256,19.58754472704155,0.0104446184210526,3.0631710526315787,7,1.1266928190638175,1.1033682065771981,73.3432635868456,37.00878146963819,1.6212368421052632,109.587
admin-permissions,base-only,4.8,4.8,4.8,4.7,4.6,4.6,4.754999999999999,78,"Excellent explanation of the two-layer admin permission flow, covering admin-area access, action-specific permissions, service authorization, role mappings, registration, and management UI.","Clear two-gate request model; strong source-backed coverage of AuthorizeAdminAttribute, CheckPermissionAttribute, PermissionService, permission records, default config, startup insertion, and SecurityController management.","Slightly less compact than necessary and could include one more concrete non-product controller example, but the answer is immediately usable.",3,base,everyday,neutral,completed,True,True,1.0,0.2,900,0.940181,159.265,0.0,159.265,586762,581167,474112,5595,1270,0.815793050878663,26,0,0,0,0,3.0,101.15073586894438,35.82708065174395,0.0098862355415352,1.6747108307045215,95.1,78,3.9,3.92,3.92,3.92,3.88,3.83,3.83,"Solid answer, but stricter grading lowers it because it is explanatory rather than a concise implementation-ready path.",Explains admin authorization layers and key permission components.,Could better prioritize exact files/actions for adding/checking a permission; somewhat verbose.,-17.099999999999994,0.2333333333333333,6,1.0,1.0,1.0,75.9,82.96274866222568,29.38498728534204,0.0120536025641025,2.0418589743589743,6,1.2356277251074526,1.1178138625537262,75.66437227489256,29.38498728534204,2.0418589743589743,0.0
admin-permissions,base-default-graphify,4.9,4.9,4.9,4.8,4.7,4.6,4.8500000000000005,84,"Excellent default-Graphify permission-flow answer. It explains the two-layer admin authorization model, the inherited admin-area gate, action-level CheckPermission behavior, PermissionService role checks, permission records/config registration, startup insertion, and plugin extension path with dense source evidence.","Very strong coverage and evidence; especially clear on OR semantics in CheckPermissionAttribute, role-to-permission mapping, PermissionConfig/DefaultPermissionConfigManager, startup insertion, and plugin permission managers.","Less explicit on the admin UI for managing mappings and less framed as a step-by-step “how to add a permission” handoff, but the task asked for explanation rather than implementation.",replacement_default_graphify,graphify,everyday,neutral,completed,True,True,1.0,0.4,999,1.24642,128.894,91.811,220.705,759814,754208,598400,5606,300,0.7934150791293648,70,0,8,0,0,1.0,77.82288474190081,26.370041458054875,0.0128496907216494,2.275309278350515,97.0,84,4.2,4.22,4.22,4.22,4.18,4.13,4.09,"Strongest strict answer for permissions: clear architecture and permission-flow evidence, though still not flawless as a step-by-step change guide.","Excellent coverage of authorization attributes, OR semantics, permission service/records, and registration flow.",Less explicit on admin UI management and concrete add-new-permission checklist.,-13.0,0.2333333333333333,0,1.3257234511227094,1.38577214077167,1.3557477959471895,83.28850440810562,67.3930135909244,22.835912190480503,0.0148383333333333,2.6274404761904764,0,1.0,1.1628617255613547,83.67427654887729,39.10189768336773,1.5344523809523811,91.811
admin-permissions,base-default-code-review-graph,4.8,4.9,4.8,4.6,4.6,4.6,4.76,79,"Very complete source-backed map of admin authorization, including inherited admin access, action permissions, service/data model, plugin permission managers, and startup registration.","Broadest structural coverage; includes plugin admin-controller note, denial behavior, cached authorization, permission definitions, startup insertion, and role-management controller.",Slightly more verbose and less crisp than the best concise answer; the practical “how to add/check a permission” handoff could be sharper.,3,crg,everyday,neutral,completed,True,True,1.0,0.2,1005,1.080953,150.858,24.238,175.096,806561,800173,691456,6388,1291,0.8641331312103757,34,2,0,2,0,2.0,88.0704341446853,32.62210444556129,0.0113545483193277,1.839243697478992,95.2,79,3.95,3.97,4.01,3.97,3.88,3.88,3.88,"Very usable but not presentation-perfect: broad structural coverage, but less crisp as a workflow handoff.","Broad permission structure, plugin/admin notes, authorization behavior, service details.",Verbose; weaker concrete “do this next” guidance; risks overwhelming a daily-workflow user.,-16.200000000000003,0.2333333333333333,5,1.1497286160856262,1.099400370451763,1.124564493268695,77.00087101346261,73.08365858645102,27.070863983186364,0.0136829493670886,2.2164050632911394,5,1.1704035874439462,1.1600661017647862,76.92986779647043,31.420276021158973,1.9095949367088607,24.238
admin-permissions,base-default-graphify-code-review-graph,4.6,4.6,4.6,4.5,4.4,4.4,4.555,68,"Solid explanation of the same permission flow, but a bit less complete and less actionable than the stronger permission answers.","Covers the main layers, attributes, service, records, StandardPermission, startup registration, plugins, and SecurityController management with source links.",Uses fewer concrete examples and less implementation guidance; evidence is adequate but not as granular; somewhat compressed for the requested exploration.,3,graphify+crg,everyday,neutral,completed,True,True,1.0,0.3333333333333333,807,1.144228,146.597,106.74,253.337,756641,750410,621056,6231,1647,0.8276222331791954,28,2,8,2,0,4.0,79.61699940920865,21.576003505212423,0.0125601317233809,2.780867178924259,91.1,68,3.4,3.42,3.42,3.42,3.38,3.33,3.33,"Acceptable but noticeably behind: main layers are present, but it lacks enough concrete examples and implementation guidance for a high score.","Covers attributes, service, records, startup, and management areas.",Too generic in places; less evidence and less actionable than other modes.,-23.099999999999994,0.2333333333333333,16,1.2170294868753995,1.590663359809123,1.4038464233422614,61.59230715331548,59.42871525605037,16.105030058775466,0.0168268823529411,3.7255441176470585,16,1.137345415612829,1.1771874512441143,62.04562509751177,27.831401734005468,2.1558382352941177,106.74
inactive-customers-csv,base-only,4.9,4.9,4.8,4.7,4.9,4.7,4.840000000000001,79,"Excellent feature-localization answer for an inactive customer CSV export, with a complete controller/search/factory/service/export/view/response path.","Identifies CustomerController, CustomerSearchModel, CustomerModelFactory, ICustomerService, IExportManager/ExportManager, List.cshtml, MimeTypes.TextCsv, and the inactive-vs-disabled semantic distinction.","Slightly long, and the CSV formatter recommendation could more explicitly mention reusing a robust helper/library rather than the newsletter formatter pattern.",3,base,everyday,neutral,completed,True,True,1.0,0.4,754,0.940622,155.79,0.0,155.79,611428,605818,501504,5610,1299,0.8278129735333054,32,0,0,0,0,2.0,102.9106272232629,37.28095513190834,0.0097171694214876,1.609400826446281,96.8,79,3.95,3.98,3.98,3.93,3.89,3.98,3.89,"Strong and usable, but strict scoring penalizes length and incomplete UI/localization specificity.",Good controller/search model/service/export path; useful inactivity semantics.,Long; should more clearly distinguish query/filter/export/UI changes and exact CSV precedent.,-17.799999999999997,0.2333333333333333,4,1.5120425278136336,1.0,1.256021263906817,77.08795747218636,83.98697882890258,30.425572886578088,0.0119066075949367,1.972025316455696,4,1.5292720276425318,1.5206572777280827,76.55868544454383,30.425572886578088,1.972025316455696,0.0
inactive-customers-csv,base-default-graphify,4.9,4.9,4.8,4.8,4.8,4.8,4.85,83,Excellent everyday export-path answer. It identifies controller/search model/factory/service/export manager/CSV response precedent and clearly distinguishes disabled customers from last-activity inactivity.,Strong implementation path; particularly good inactive-definition nuance and CSV precedent; concise and actionable.,"Could mention view/button placement and localization slightly more explicitly, but the core workflow is very strong.",replacement_default_graphify,graphify,everyday,neutral,completed,True,True,1.0,0.25,494,0.8213029999999999,101.872,88.384,190.256,491958,488101,385536,3857,413,0.7898693098354643,64,0,6,0,0,1.0,118.10501118344877,30.59036245900261,0.0084670412371134,1.96140206185567,97.0,83,4.15,4.17,4.17,4.13,4.13,4.13,4.13,"Best strict answer: gives a strong everyday export implementation path with useful nuance, but still leaves a few UI/localization details underdeveloped.","Clear path through controller, search model, factory/service/export manager; good inactive-definition discussion.",Could be more explicit on button placement/localization and exact CSV formatter reuse.,-14.0,0.2333333333333333,0,1.320238166044299,1.22123371204827,1.2707359390462845,82.45852812190743,101.05892709511596,26.175258598940378,0.0098952168674698,2.2922409638554218,0,1.0,1.1601190830221495,82.6797618339557,48.88487513742736,1.2273734939759036,88.384
